O1_mean,O1_ptp,O1_std,O1_entropy,O2_mean,O2_ptp,O2_std,O2_entropy,OZ_mean,OZ_ptp,OZ_std,OZ_entropy,P1_mean,P1_ptp,P1_std,P1_entropy,P2_mean,P2_ptp,P2_std,P2_entropy,PZ_mean,PZ_ptp,PZ_std,PZ_entropy,PO3_mean,PO3_ptp,PO3_std,PO3_entropy,PO4_mean,PO4_ptp,PO4_std,PO4_entropy,PO7_mean,PO7_ptp,PO7_std,PO7_entropy,PO8_mean,PO8_ptp,PO8_std,PO8_entropy,P3_mean,P3_ptp,P3_std,P3_entropy,P4_mean,P4_ptp,P4_std,P4_entropy,O1_Delta_power,O2_Delta_power,OZ_Delta_power,P1_Delta_power,P2_Delta_power,PZ_Delta_power,PO3_Delta_power,PO4_Delta_power,PO7_Delta_power,PO8_Delta_power,P3_Delta_power,P4_Delta_power,O1_Theta_power,O2_Theta_power,OZ_Theta_power,P1_Theta_power,P2_Theta_power,PZ_Theta_power,PO3_Theta_power,PO4_Theta_power,PO7_Theta_power,PO8_Theta_power,P3_Theta_power,P4_Theta_power,O1_Alpha_power,O2_Alpha_power,OZ_Alpha_power,P1_Alpha_power,P2_Alpha_power,PZ_Alpha_power,PO3_Alpha_power,PO4_Alpha_power,PO7_Alpha_power,PO8_Alpha_power,P3_Alpha_power,P4_Alpha_power,O1_Beta_power,O2_Beta_power,OZ_Beta_power,P1_Beta_power,P2_Beta_power,PZ_Beta_power,PO3_Beta_power,PO4_Beta_power,PO7_Beta_power,PO8_Beta_power,P3_Beta_power,P4_Beta_power,O1_Gamma_power,O2_Gamma_power,OZ_Gamma_power,P1_Gamma_power,P2_Gamma_power,PZ_Gamma_power,PO3_Gamma_power,PO4_Gamma_power,PO7_Gamma_power,PO8_Gamma_power,P3_Gamma_power,P4_Gamma_power,SecondsTarget1,Correct_1,AI1 Correct,ConfidenceLabel
5.436074364434594e-07,-3.0424581168614712e-06,-2.1973177648144685e-06,-4.0556663137076205e-07,-9.684532671248598e-07,-6.459950543005881e-07,-1.4703032457466055e-07,-2.304072686169815e-06,-3.7177720618396405e-06,-3.937721391307454e-06,-1.2642246176488075e-06,-2.2223594402670173e-06,6.873806554605756e-05,5.516630921740791e-05,5.280895029086455e-05,2.9492798730774658e-05,3.2464358247808324e-05,2.422476380907761e-05,6.216910537282325e-05,5.915981659257918e-05,7.407675152195856e-05,7.656414775591286e-05,4.041471089649782e-05,5.243136774176903e-05,1.1443140690460479e-05,9.600237707773124e-06,9.02111307126849e-06,5.8709121673527915e-06,5.606741072187596e-06,4.428759149447187e-06,1.0239001186873492e-05,1.0247204212979724e-05,1.1226540804523419e-05,1.250496243829527e-05,7.103793341809961e-06,8.42740678708775e-06,0.45463854910989193,0.4410214438437364,0.5156223582635229,0.35983620057556426,0.40289589685680216,0.43401575414565485,0.3518600440425278,0.34611414390010226,0.41127256363359505,0.3605114805869355,0.36685363379357605,0.35732715467576315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0
1.2637640487348753e-06,1.785557292944916e-06,1.8812452718896316e-06,4.712214647692292e-06,3.6584618717970263e-06,4.256002294028072e-06,6.701876719981188e-06,3.144584814666942e-06,4.445649670402463e-06,3.2077473016531443e-06,4.731382480212592e-06,3.6952358030429824e-06,7.956582240043397e-05,4.3891006358912424e-05,6.317922194742139e-05,3.698583975036973e-05,2.9709790154787354e-05,2.417361825561787e-05,6.555446417470085e-05,4.734811389412938e-05,6.459681303881302e-05,5.5661792614594436e-05,4.403952587452866e-05,3.881804647181807e-05,1.1281149963033056e-05,7.662979253576194e-06,8.921751394616927e-06,6.036611998201151e-06,4.91393395382866e-06,4.4899218123393366e-06,9.670534731750757e-06,7.902549022412165e-06,9.641113745628259e-06,9.64450664439431e-06,7.175058853411785e-06,6.4344730959879685e-06,0.44606523827843264,0.46427600080219095,0.4427933703819452,0.3707027558649169,0.3885997597012306,0.40853730714513453,0.3947393098777533,0.3853082193862057,0.4365919072906067,0.4092385416413954,0.3716376727467278,0.3638297918410679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0
5.234747474958206e-06,5.008001231297298e-06,2.4335654110009723e-06,3.0951101608097112e-06,3.0065251903334756e-06,1.9456955963854724e-06,4.453056806536511e-06,4.297040886906884e-06,5.038925386560026e-06,5.5492164334491375e-06,3.2195350003025616e-06,3.7510660556189543e-06,5.503752313069693e-05,5.354170022797938e-05,5.280209909459279e-05,3.213510219090036e-05,3.0087944908471277e-05,2.87351531256929e-05,5.5092737058780187e-05,4.805203616408066e-05,5.054390131587036e-05,7.706138209913988e-05,3.424990836079292e-05,4.47354677978204e-05,8.827417901591169e-06,9.64694568531124e-06,9.229377935725324e-06,5.7941082618148986e-06,5.698346950968748e-06,4.9588302038551715e-06,8.073586569201816e-06,9.484038889356343e-06,8.978689753472332e-06,1.2356974564932444e-05,6.1655169516822154e-06,8.164430488545649e-06,0.5400129209275621,0.42370948230520067,0.5151204483286498,0.38075883294456436,0.37814645644207046,0.39628162819254154,0.4437582480359373,0.36230981772976706,0.47146131739136654,0.3589615731182722,0.39655180864756856,0.3449727215364603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0
2.680941905793841e-06,2.0264872344176385e-06,3.3698874157383966e-06,3.1915818225425665e-06,2.2347795832572684e-06,2.2459686812483924e-06,5.396779000569334e-06,3.3963394921493845e-06,4.386500776885987e-06,3.2277027511334805e-06,4.15295047060908e-06,2.808024598974451e-06,6.060361465411949e-05,6.647274191286094e-05,6.109613784623536e-05,4.120703686800813e-05,3.591360464565499e-05,2.7496774604039232e-05,6.731307584933793e-05,6.267568763167609e-05,7.460875301597671e-05,8.771882988717382e-05,5.113023935760289e-05,5.6254236079285183e-05,1.0130342443302823e-05,1.0986777068369169e-05,1.0423904814559476e-05,6.228283871406399e-06,6.234689723542711e-06,4.9012690610446415e-06,1.0571924454671205e-05,1.1097295189198794e-05,1.145142647824665e-05,1.4032126243295769e-05,7.635944943822367e-06,9.138353089211533e-06,0.39712233926454715,0.32803488687100707,0.3845147922652201,0.32885724768535923,0.32886058383979094,0.35430376806529035,0.29365598776706975,0.3032173534098399,0.32379639096193635,0.3286462982901545,0.3256493711777011,0.3162919631081214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0
6.373583860088105e-06,5.122785462321825e-06,5.5345716108367615e-06,3.0977399134167676e-06,3.602959832958971e-06,2.0696411058196996e-06,1.6688951168156202e-06,4.487446645462235e-06,5.663032700490611e-06,5.415624839106867e-06,3.406088527245689e-06,3.5813162562084468e-06,5.7634450766962586e-05,4.7960201142339867e-05,6.324353583580882e-05,3.3658851538554725e-05,2.911034767430617e-05,2.757114403439346e-05,5.4833091597399596e-05,4.7055505633759745e-05,6.556465323107161e-05,5.9511871187637594e-05,4.3410924801896974e-05,3.8498204134063585e-05,1.1020147023293694e-05,9.157827987648187e-06,1.0414509124196404e-05,5.782782972209344e-06,5.862265618653214e-06,4.928452599130065e-06,1.0579389776670565e-05,9.35033312173783e-06,1.1879462986725256e-05,1.1108248336430695e-05,7.292994046351086e-06,7.537312958917852e-06,0.44626786166340277,0.42304181244215916,0.44740449999056736,0.35713067901617834,0.31686216158068764,0.35045886996679826,0.36840352966084766,0.3472851774650068,0.36864370607107655,0.41063331997904284,0.3405928368900447,0.34863748055021715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,1.0,0
4.867014979552877e-07,1.0380383010267851e-07,4.466083555607248e-07,3.2250259832359113e-07,-8.486550382748508e-07,-6.327021583495926e-07,1.1265441863777135e-06,1.5192971254754805e-06,8.587703666569923e-07,5.077418977347855e-07,1.5183661091735638e-07,1.8737959260598086e-06,8.12999799583115e-05,5.628445229624991e-05,7.502625064981032e-05,4.3546403774943595e-05,3.7058280851261054e-05,3.2548870004491925e-05,9.652964376873725e-05,6.891190511471045e-05,8.517996575784165e-05,6.204605849813392e-05,4.671842181808248e-05,4.267219437315906e-05,1.1345468613027183e-05,9.053348142074393e-06,9.907135530331338e-06,5.674707133990943e-06,4.627769212684668e-06,4.406943159809201e-06,1.2412440974097179e-05,8.374716911514437e-06,1.1445375241653247e-05,1.051014974250939e-05,6.3500771343375975e-06,5.550338624876672e-06,0.6416995136374565,0.6943905850975639,0.6708458115609026,0.6225505065234432,0.6395012447431213,0.641752180122034,0.6282806704339152,0.6460919348677012,0.6371829318046798,0.6777155010530057,0.6161631450894989,0.6421794655894061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0
4.329063948479378e-06,2.7011575237900944e-06,3.2698357578682118e-06,3.396054408173865e-06,2.6436682215414015e-06,2.2302577068120252e-06,3.99463459221147e-06,3.220762573969849e-06,5.0722892914474e-06,4.590847129735699e-06,2.8908039888136327e-06,2.950582031915201e-06,5.031492411307933e-05,5.996613868832173e-05,5.111233889072914e-05,2.331653064562971e-05,2.873793880836409e-05,2.217743295792338e-05,3.5475211053927354e-05,4.8594577666617126e-05,5.4055703980343756e-05,6.9460065666305e-05,2.7996992040520445e-05,3.776069822314485e-05,7.705468965376998e-06,8.481370056457471e-06,7.683192228672823e-06,4.302072192146712e-06,3.963860760087643e-06,3.4084973477295104e-06,6.071132980251662e-06,6.271097618222013e-06,8.060381393939817e-06,9.872681754076837e-06,4.75475036434681e-06,5.069956600039879e-06,0.6196468267932119,0.6604502617808065,0.6299407082410927,0.5169740552330163,0.6257248529784046,0.6128066505265629,0.5751419895614567,0.6474284822523686,0.6644984199376379,0.6874482316504765,0.5184853024580608,0.6323413331428954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0
-7.770790968200843e-07,-4.257039150247367e-06,-3.3596801621197595e-06,-3.0397171289817385e-06,-1.7951838615744791e-06,-1.5313409610573792e-06,-2.9109440246694787e-06,-2.6530474707616434e-06,-2.549261429757696e-06,-3.0767644918211853e-06,-2.901437557413954e-06,-2.9328415811495353e-06,0.00010128054402529707,7.20504568188225e-05,7.076201230303255e-05,3.252663222683811e-05,2.5796540195184938e-05,2.275304311729774e-05,6.154040321071429e-05,4.8770259734044665e-05,8.707222344349385e-05,5.966954788401684e-05,3.905191793118854e-05,3.439174548049097e-05,1.3004716738365134e-05,9.916701408892428e-06,1.0593409692279524e-05,4.495234490405567e-06,4.420849057294323e-06,3.8019819129164594e-06,8.647591630106189e-06,7.158276610354638e-06,1.0862551454489357e-05,8.39555365580529e-06,5.111019420043343e-06,5.5199738355996914e-06,0.6783727802766945,0.6922555743360596,0.6722796372272715,0.65339541289878,0.651504238554267,0.6707392510733367,0.6773767737914832,0.6637016323680284,0.6848605451822244,0.6914217207784631,0.671078774732345,0.6575490035181067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0
-1.1154681308716619e-06,5.159137410302897e-06,2.2957014382291684e-06,5.549545455373672e-07,1.5016785116430113e-06,2.6778418213249036e-07,1.370072305529126e-06,2.7556461181019363e-06,-2.381948143318844e-06,4.849769487400925e-06,1.2642237469671668e-07,2.910520718362556e-06,0.00013412009396069572,9.863104986084382e-05,0.00011616831177945711,3.8219423197572615e-05,4.2168910873758344e-05,3.52904738488884e-05,8.017072657371142e-05,7.07234762313525e-05,0.00013258486523532375,7.476820736127725e-05,5.0258867136902504e-05,5.609087739134313e-05,1.558304702555724e-05,1.2688566741974473e-05,1.335661480381293e-05,4.92536146866738e-06,5.453665733833993e-06,4.423206883952767e-06,1.0045664717745126e-05,9.708078402634685e-06,1.5275667979456035e-05,1.0067255472774256e-05,5.8750682990082156e-06,7.3752020971231065e-06,0.649847657828099,0.6672218434661767,0.6442499935410327,0.6240937321904269,0.6551712401159494,0.6505418864637513,0.6467067189465031,0.6436430815544533,0.6357022542905602,0.6863432827914345,0.6189756441013731,0.6481173077742818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.0,0
1.0593705217456221e-07,7.299581476998118e-08,7.506346298745309e-07,1.5292663610902604e-06,5.774697225105144e-07,5.940249600562637e-07,1.603919837972776e-06,3.6168037353622477e-07,2.3008195493749037e-06,1.3500230061439482e-06,1.7782242585623002e-06,9.32974975895088e-08,3.850946607403759e-05,3.705746832074553e-05,3.5328095346901325e-05,1.8632452917740293e-05,2.1493761962029854e-05,1.9022965860022165e-05,2.8352933812082716e-05,2.5932557040544654e-05,5.0164674632257504e-05,3.519047346767115e-05,2.0960390038022485e-05,2.7939897466689985e-05,6.4472631468724296e-06,6.345931603368754e-06,5.862819486921333e-06,3.4141233050052345e-06,3.7640724489871632e-06,3.296897458917385e-06,5.228313585206476e-06,4.816627296540359e-06,7.5221946467293394e-06,6.227523826138961e-06,3.801829120788548e-06,4.5429354882714225e-06,0.5568009655022571,0.632381755491335,0.5971896958230294,0.5597007957594633,0.5499948539804849,0.5850399600593937,0.546293852095563,0.5708346054163955,0.6192572470196618,0.665777659240616,0.5532623663007852,0.5497651254557282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
